State/District code,Jharkhand/District,Total population,Males,Females,Percentage Decadal Growth 2001-2011,Sex Ratio,Density (persons per sq km)
1,Garhwa,1322387,683984,638403,27.71,933,327
2,Chatra,1042304,534209,508095,28.98,951,275
3,Kodarma,717169,367952,349217,32.59,949,427
4,Giridih,2445203,1258607,1186596,28.33,943,497
5,Deoghar,1491879,776741,715138,28.02,921,602
6,Godda,1311382,678504,632878,25.14,933,622
7,Sahibganj,1150038,590390,559648,23.96,948,719
8,Pakur,899200,453101,446099,28.15,985,498
9,Dhanbad,2682662,1405847,1276815,11.91,908,1284
10,Bokaro,2061918,1076270,985648,15.99,916,716
11,Lohardaga,461738,232575,229163,26.67,985,310
12,Purbi Singhbhum,2291032,1175696,1115336,15.53,949,648
13,Palamu,1936319,1003876,932443,25.94,929,381
14,Latehar,725673,369534,356139,29.38,964,200
15,Hazaribagh,1734005,891179,842826,25.75,946,403
16,Ramgarh,949159,494037,455122,13.06,921,684
17,Dumka,1321096,669240,651856,19.39,974,300
18,Jamtara,790207,403450,386757,21,959,439
19,Ranchi,2912022,1493376,1418646,23.9,950,557
20,Khunti,530299,265939,264360,21.96,994,215
21,Gumla,1025656,514730,510926,23.21,993,193
22,Simdega,599813,299905,299908,16.62,1000,160
23,Pashchimi Singhbhum,1501619,749314,752305,21.69,1004,209
24,Saraikela-Kharsawan,1063458,543232,520226,25.28,958,390